time,config,run,metric,domain,value,mean,std,min,max,count
20.000000,Debug_Quick,0,pheromoneLevel,5,0.190121,0.190121,0.000000,0.190121,0.190121,1
20.000000,Debug_Quick,0,suspicionLevel,-1,0.000000,0.000000,0.000000,0.000000,0.000000,1
20.000000,Debug_Quick,0,attentionEntropy,-1,2.584963,2.584963,0.000000,2.584963,2.584963,1
20.000000,Debug_Quick,0,beliefEntropy,-1,1.584963,1.584963,0.000000,1.584963,1.584963,1
20.000000,Debug_Quick,0,beliefMax,-1,0.333333,0.333333,0.000000,0.333333,0.333333,1
20.000000,Debug_Quick,0,commOverheadRate,0,24.000000,24.000000,0.000000,24.000000,24.000000,1
20.000000,Debug_Quick,0,commOverheadRate,1,24.000000,24.000000,0.000000,24.000000,24.000000,1
20.000000,Debug_Quick,0,commOverheadRate,2,24.000000,24.000000,0.000000,24.000000,24.000000,1
20.000000,Debug_Quick,0,commOverheadRate,3,24.000000,24.000000,0.000000,24.000000,24.000000,1
20.000000,Debug_Quick,0,commOverheadRate,4,24.000000,24.000000,0.000000,24.000000,24.000000,1
20.000000,Debug_Quick,0,commOverheadRate,5,24.000000,24.000000,0.000000,24.000000,24.000000,1
20.000000,Debug_Quick,0,commOverhead,-1,4320.000000,4320.000000,0.000000,4320.000000,4320.000000,1
20.000000,Debug_Quick,0,consistencyPenalty,-1,0.132851,0.132851,0.000000,0.132851,0.132851,1
20.000000,Debug_Quick,0,deceptionEffortNorm,0,0.166667,0.166667,0.000000,0.166667,0.166667,1
20.000000,Debug_Quick,0,deceptionEffortNorm,1,0.166667,0.166667,0.000000,0.166667,0.166667,1
20.000000,Debug_Quick,0,deceptionEffortNorm,2,0.166667,0.166667,0.000000,0.166667,0.166667,1
20.000000,Debug_Quick,0,deceptionEffortNorm,3,0.166667,0.166667,0.000000,0.166667,0.166667,1
20.000000,Debug_Quick,0,deceptionEffortNorm,4,0.166667,0.166667,0.000000,0.166667,0.166667,1
20.000000,Debug_Quick,0,deceptionEffortNorm,5,0.166667,0.166667,0.000000,0.166667,0.166667,1
20.000000,Debug_Quick,0,fieldEntropy,-1,2.583577,2.583577,0.000000,2.583577,2.583577,1
20.000000,Debug_Quick,0,fieldNorm,-1,0.426703,0.426703,0.000000,0.426703,0.426703,1
20.000000,Debug_Quick,0,infoLeak,-1,0.000000,0.000000,0.000000,0.000000,0.000000,1
20.000000,Debug_Quick,0,pheromoneLevel,0,0.174195,0.174195,0.000000,0.174195,0.174195,1
20.000000,Debug_Quick,0,pheromoneLevel,1,0.184842,0.184842,0.000000,0.184842,0.184842,1
20.000000,Debug_Quick,0,pheromoneLevel,2,0.182287,0.182287,0.000000,0.182287,0.182287,1
20.000000,Debug_Quick,0,pheromoneLevel,3,0.169085,0.169085,0.000000,0.169085,0.169085,1
20.000000,Debug_Quick,0,pheromoneLevel,4,0.162548,0.162548,0.000000,0.162548,0.162548,1
20.000000,Debug_Quick,0,pheromoneLevel,5,0.171247,0.171247,0.000000,0.171247,0.171247,1
20.000000,Debug_Quick,0,suspicionLevel,-1,0.000000,0.000000,0.000000,0.000000,0.000000,1
